,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,1635474647,3.0707,172.7902,82.83,68,1,13.38
1,Mashhad,IR,1635474884,36.297,59.6062,37.54,81,0,4.61
2,Ushuaia,AR,1635474718,-54.8,-68.3,56.86,47,20,11.5
3,Sur,OM,1635474885,22.5667,59.5289,78.24,61,0,1.19
4,Busselton,AU,1635474715,-33.65,115.3333,60.04,51,54,7.4
5,Darhan,MN,1635474864,49.4867,105.9228,36.09,46,98,11.65
6,Ponta do Sol,PT,1635474728,32.6667,-17.1,69.71,70,66,7.96
7,Champerico,GT,1635474885,14.3,-91.9167,83.35,81,90,2.21
8,Tottori-shi,JP,1635474886,35.5,134.2333,62.67,48,75,13.8
9,Mahébourg,MU,1635474705,-20.4081,57.7,75.25,88,40,6.91
10,Port Alfred,ZA,1635474722,-33.5906,26.891,67.96,90,99,10.6
11,Muroto-misakicho,JP,1635474736,33.2833,134.15,68.04,47,0,11.59
12,Listvyagi,RU,1635474887,53.6772,86.951,33.4,68,100,5.35
13,Lagoa,PT,1635474713,39.05,-27.9833,70.07,90,99,34.67
14,Pevek,RU,1635474660,69.7008,170.3133,1.72,92,100,4.23
15,Melfi,IT,1635474887,40.9965,15.6514,49.41,92,81,1.61
16,Carnarvon,AU,1635474756,-24.8667,113.6333,73.47,35,0,18.41
17,Vestmannaeyjar,IS,1635474824,63.4427,-20.2734,44.2,85,100,13.13
18,Karratha,AU,1635474888,-20.7377,116.8463,86.31,24,6,12.24
19,Jamestown,US,1635474720,42.097,-79.2353,56.52,79,1,7.0
20,Punta Arenas,CL,1635474613,-53.15,-70.9167,51.91,71,75,13.8
21,Hilo,US,1635474717,19.7297,-155.09,83.28,68,1,8.05
22,Caravelas,BR,1635474873,-17.7125,-39.2481,72.93,77,4,5.32
23,Mataura,NZ,1635474739,-46.1927,168.8643,64.98,61,60,5.19
24,Martapura,ID,1635474888,-3.4167,114.85,80.69,83,75,5.75
25,Nantucket,US,1635474889,41.2835,-70.0995,53.71,71,90,17.27
26,Codrington,AU,1635474776,-38.2667,141.9667,54.41,55,99,20.04
27,Ambilobe,MG,1635474889,-13.2,49.05,73.69,88,22,1.45
28,Nanortalik,GL,1635474814,60.1432,-45.2371,35.06,72,92,1.74
29,Departamento de Maldonado,UY,1635474866,-34.6667,-54.9167,63.79,77,0,8.63
30,Hobart,AU,1635474709,-42.8794,147.3294,46.26,94,75,5.99
31,Longyearbyen,SJ,1635474675,78.2186,15.6401,19.24,79,0,4.61
32,Barrow,US,1635474799,71.2906,-156.7887,21.22,86,90,13.8
33,Tiksi,RU,1635474785,71.6872,128.8694,12.51,94,100,4.94
34,Corn Island,NI,1635474731,12.1694,-83.0418,84.13,72,12,4.83
35,Kangasala,FI,1635474890,61.4638,24.076,50.99,94,100,13.31
36,Nikolskoye,RU,1635474721,59.7035,30.7861,53.87,92,100,11.23
37,Atuona,PF,1635474732,-9.8,-139.0333,78.42,68,6,16.33
38,Basco,PH,1635474890,20.4487,121.9702,79.43,67,93,17.98
39,Merrill,US,1635474876,45.1805,-89.6835,50.18,93,90,5.75
40,Fort Nelson,CA,1635474603,58.8053,-122.7002,29.79,100,75,3.44
41,Norman Wells,CA,1635474724,65.282,-126.8329,23.04,93,90,3.44
42,Vardø,NO,1635474842,70.3705,31.1107,34.0,92,100,18.05
43,Lebu,CL,1635474721,-37.6167,-73.65,52.27,87,32,15.28
44,Albany,US,1635474433,42.6001,-73.9662,44.31,91,18,1.14
45,Ahipara,NZ,1635474804,-35.1667,173.1667,63.81,74,3,11.56
46,Chunskiy,RU,1635474891,56.0815,99.6342,30.51,44,18,5.61
47,Grindavik,IS,1635474892,63.8424,-22.4338,44.55,87,0,18.41
48,Vaini,TO,1635474710,-21.2,-175.2,80.76,83,75,12.66
49,Buala,SB,1635474844,-8.145,159.5921,85.3,71,65,7.18
50,Dikson,RU,1635474762,73.5069,80.5464,9.19,86,100,5.28
51,Clarence Town,AU,1635474892,-32.5833,151.7833,90.34,40,100,12.57
52,Hasaki,JP,1635474741,35.7333,140.8333,64.69,51,100,24.52
53,Bilma,NE,1635474802,18.6853,12.9164,76.71,19,3,1.07
54,Saint Paul Harbor,US,1635474485,57.79,-152.4072,36.91,52,20,4.61
55,Turochak,RU,1635474804,52.2576,87.1224,33.8,80,100,2.64
56,Lázaro Cárdenas,MX,1635474742,17.9583,-102.2,78.84,78,3,2.24
57,Beringovskiy,RU,1635474725,63.05,179.3167,7.65,77,22,4.54
58,Alihe,CN,1635474794,50.5667,123.7167,47.88,46,53,1.1
